store_name,address,city,zipcode,store_type,latitude,longitude
Circle K 2709449,2750 Via de la Valle,Del Mar,92014,Convenience Store,3892774.07495379,-13052062.2405886
Circle K 2709450,9750 N Magnolia Ave,Santee,92071,Convenience Store,3876043.0700767,-13021172.1950883
Circle K 2709452,11898 Rancho Bernardo Rd,San Diego,92128,Convenience Store,3898352.97821302,-13032687.083216
Circle K 2709457,14863 Pomerado Rd,Poway,92064,Convenience Store,3892868.69372314,-13031305.6083353
Discount Grocery 1,4879 University Ave,San Diego,92105,Grocery Store,3862068.46043319,-13034310.1213918
Target Store T-2802,280 E Via Rancho Pkwy,Escondido,92025,Super Store,3904383.52025937,-13031698.5661378
Walgreens 12421,13390 Poway Rd,Poway,92064,Other,3889598.48579593,-13028971.2386133
Costco Wholesale 0578,7803 Othello Ave,San Diego,92111,Super Store,3871056.77125329,-13041447.9271414
Spring Market And Bakery,725 S Mollison Ave,El Cajon,92020,Grocery Store,3867067.63739739,-13018893.4851118
Town Center Market Inc,29144 Valley Center Rd,Valley Center,92082,Convenience Store,3926034.3884646,-13027178.9948115
Country Wine & Spirits,12215 Woodside Ave,Lakeside,92040,Convenience Store,3876230.58110464,-13016370.9854504
Southbay Nutrition,2949 Beyer Blvd,San Diego,92154,Grocery Store,3838999.10495596,-13031941.2426277
Craft Catering Food To Go,6784 El Cajon Blvd,San Diego,92115,Restaurant Meals Program,3864687.72654532,-13030143.4328514
